day	hour	value
1	1	0
1	2	1
1	3	2
1	4	3
1	5	4
1	6	2
1	7	0
1	8	2
1	9	0
1	10	4
1	11	6
1	12	6
1	13	8
1	14	0
1	15	2
1	16	4
1	17	6
1	18	8
1	19	2
1	20	0
1	21	4
1	22	2
1	23	0
1	24	6
2	1	8
2	2	0
2	3	2
2	4	0
2	5	0
2	6	2
2	7	4
2	8	8
2	9	8
2	10	4
2	11	2
2	12	0
2	13	8
2	14	6
2	15	6
2	16	4
2	17	6
2	18	0
2	19	2
2	20	0
2	21	2
2	22	8
2	23	0
2	24	2
3	1	4
3	2	6
3	3	8
3	4	0
3	5	0
3	6	2
3	7	4
3	8	2
3	9	4
3	10	4
3	11	4
3	12	4
3	13	4
3	14	8
3	15	4
3	16	0
3	17	6
3	18	2
3	19	2
3	20	6
3	21	8
3	22	4
3	23	4
3	24	8
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	4
4	8	2
4	9	2
4	10	8
4	11	6
4	12	2
4	13	4
4	14	4
4	15	6
4	16	4
4	17	2
4	18	0
4	19	8
4	20	2
4	21	4
4	22	2
4	23	2
4	24	8
5	1	2
5	2	0
5	3	8
5	4	2
5	5	0
5	6	2
5	7	4
5	8	4
5	9	2
5	10	8
5	11	4
5	12	0
5	13	6
5	14	4
5	15	6
5	16	6
5	17	4
5	18	2
5	19	4
5	20	6
5	21	8
5	22	4
5	23	0
5	24	8
6	1	2
6	2	0
6	3	2
6	4	0
6	5	0
6	6	0
6	7	4
6	8	8
6	9	8
6	10	6
6	11	4
6	12	2
6	13	8
6	14	4
6	15	0
6	16	4
6	17	2
6	18	6
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	2
7	2	6
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	2
7	12	2
7	13	2
7	14	6
7	15	0
7	16	4
7	17	0
7	18	2
7	19	0
7	20	2
7	21	0
7	22	2
7	23	2
7	24	4
